,subject_id,Fz,Mx,My,CoPx,CoPy,Second
788,14,574.0887256,46.858902610000000,-1.54546594,0.002692126,0.081623593,8.0
789,14,574.0861298900000,44.71949712,-1.838766,0.00320277,0.0778965319999999,9.0
790,14,574.0423390800000,46.64444252,-1.90039816,0.003310577,0.081256054,10.0
791,14,574.07206249,47.92529695,-1.8165863,0.003164412,0.083483152,11.0
792,14,574.14962885,47.79862927,-1.74745684,0.0030435279999999,0.083251242,12.0
793,14,574.0847850200000,48.18632277,-1.38808453,0.002417897,0.083935935,13.0
794,14,574.07390219,49.91592046,-1.57784663,0.002748445,0.086950382,14.0
795,14,574.02725078,50.25398136,-1.48954361,0.002594952,0.087546401,15.0
796,14,574.10289753,49.43417473,-2.04413704,0.0035605669999999,0.086106847,16.0
797,14,574.0723031,48.32011888,-1.34023267,0.002334681,0.084170808,17.0
798,14,574.03049919,48.4457218,-2.0841182200000000,0.003630716,0.0843957269999999,18.0
799,14,574.22115023,48.60326165,-1.6050188,0.002795154,0.084642252,19.0
800,14,574.03114323,48.60690606,-2.78659672,0.0048540119999999,0.084675819,20.0
801,14,574.04710453,49.62801534,-1.91557333,0.0033370419999999,0.086452847,21.0
802,14,574.12514547,49.26682531,-1.95284969,0.003401536,0.085811915,22.0
803,14,573.99634756,50.04532639,-0.4180645,0.000728446,0.087188385,23.0
804,14,574.07052947,51.14930094,-1.84066242,0.003206408,0.08909961,24.0
805,14,574.11775701,52.099366110000000,-1.31589047,0.002292023,0.090746788,25.0
806,14,574.07300029,54.474066310000000,-1.72563479,0.003005911,0.094890423,26.0
807,14,574.10688142,52.09085623,-2.02354432,0.003524672,0.090734209,27.0
808,14,574.0305841100000,51.67304249,-1.39164475,0.002424392,0.090017964,28.0
809,14,574.1133634200000,49.99021864,-1.70996885,0.00297854,0.087074235,29.0
810,14,574.00649138,47.48571176,-1.01115084,0.001761892,0.082726947,30.0
811,14,574.08899739,49.14768816,-2.44086636,0.004251698,0.085609899,31.0
812,14,574.0609485900000,51.4982481,-1.93270184,0.003366473,0.089708446,32.0
813,14,573.99258522,54.64264987,-2.5312135600000000,0.00440986,0.09519767,33.0
814,14,574.0743836600000,49.391029450000000,-0.20443497,0.000356441,0.086036421,34.0
815,14,574.0441836,50.43746796,-2.90143508,0.005054345,0.087863562,35.0
816,14,574.03542108,52.51812423,-1.85522409,0.003231886,0.091489642,36.0
817,14,574.0592905,55.47822467,-2.48069594,0.004321301,0.096642137,37.0
818,14,574.15529709,55.73680285,-1.5470743500000000,0.002694464,0.097076248,38.0
819,14,574.0813167300000,53.01349119,-2.5386362300000000,0.004422022,0.092345257,39.0
820,14,574.0037819200000,53.82471504,-2.56642011,0.004471101,0.093770577,40.0
821,14,574.11678724,54.330188580000000,-2.19358516,0.00382075,0.0946326909999999,41.0
822,14,574.09854127,53.42234333,-2.75714709,0.00480255,0.093054423,42.0
823,14,574.0583828800000,53.53734033,-2.34293124,0.004081252,0.093261731,43.0
824,14,574.05976765,55.6496856,-3.83530696,0.00668107,0.0969408119999999,44.0
825,14,573.95876105,55.91306801,-2.67547181,0.00466139,0.097416432,45.0
826,14,574.0324249500000,52.87901123,-3.00332077,0.005231878,0.092118628,46.0
827,14,574.01273636,53.17419153,-2.73086363,0.0047574759999999,0.092635912,47.0
828,14,574.00730354,53.083803,-2.40431878,0.0041886039999999,0.092479283,48.0
829,14,574.0427875300000,49.26377297,-2.13317084,0.003715966,0.085818753,49.0
830,14,574.02200978,50.10844402,-2.49499719,0.004346546,0.087293508,50.0
831,14,574.03606254,53.69933234,-1.73468658,0.003021902,0.093547148,51.0
832,14,574.07119669,52.52158488,-2.2407754400000000,0.0039033839999999,0.091489698,52.0
833,14,574.01341914,52.56061567,-1.80508435,0.0031447349999999,0.091566887,53.0
834,14,574.04037062,53.42970683,-1.94000555,0.003379502,0.0930764219999999,54.0
835,14,574.01381153,50.92430105,-1.82561606,0.003180409,0.088716161,55.0
836,14,574.01058818,52.62473652,-2.1287299600000000,0.003708537,0.091679187,56.0
837,14,574.02346184,51.55032079,-1.65228631,0.002878354,0.089805299,57.0
838,14,574.00599067,50.27549206,-2.01854152,0.0035165989999999,0.08758703,58.0
839,14,573.98801688,50.469724720000000,-1.77175804,0.003086697,0.0879281589999999,59.0
840,15,597.77285719,6.94419621,10.12912568,-0.0169447769999999,0.01161683,0.0
841,15,597.75250179,6.19812585,9.29897148,-0.015556557,0.010368952,1.0
842,15,597.76899584,5.98673646,9.66716157,-0.016172027,0.010015318,2.0
843,15,597.77763129,7.79981513,9.01204617,-0.015075878,0.013048051,3.0
844,15,597.6897913600000,9.63345913,9.25234025,-0.015480237,0.016117809,4.0
845,15,597.85749841,8.14159164,10.37357023,-0.0173511999999999,0.013618045,5.0
846,15,597.7747364,10.77652914,9.93637307,-0.016622656,0.018028099,6.0
847,15,597.81036626,9.3518877,9.91421517,-0.016584211,0.015643637,7.0
848,15,597.78635812,10.98304577,10.37968759,-0.017363578,0.018372861,8.0
849,15,597.76649498,12.17644313,10.49505443,-0.0175571279999999,0.020369914,9.0
850,15,597.78070846,11.32447436,10.25107196,-0.017148512,0.018944166,10.0
851,15,597.7755902,11.08502526,10.13112266,-0.016948125,0.018544028,11.0
852,15,597.79953932,13.15125447,10.14327226,-0.0169677079999999,0.021999648,12.0
853,15,597.8150812800000,12.03149055,10.61297132,-0.0177528429999999,0.020125913,13.0
854,15,597.79705831,14.57561217,10.90652118,-0.018244609,0.024382207,14.0
855,15,597.719020075,17.9798885,6.634940140000000,-0.011100602,0.030084854,15.0
856,15,597.863974773,10.53549125,4.4697710300000000,-0.007476808,0.01762489,16.0
857,15,597.83463478,12.66589455,10.66786812,-0.017844478,0.021186209,17.0
858,15,597.74546187,11.89034103,8.4795437,-0.014186107,0.019892102,18.0
859,15,597.82974829,12.66704568,10.47069366,-0.017514409,0.021188544,19.0
860,15,597.8188607900000,13.61594033,8.831812890000000,-0.01477339,0.022776019,20.0
861,15,597.7959697,12.0793978,10.11371363,-0.01691837,0.020206555,21.0
862,15,597.80930256,12.9150529,9.41657494,-0.015751918,0.021603797,22.0
863,15,597.82062344,13.87081583,9.4613895,-0.015826454,0.023202267,23.0
864,15,597.859635171,16.42501696,9.688542880000000,-0.016205364,0.02747321,24.0
865,15,597.8512116,15.1088677,8.704966930000000,-0.014560443,0.025272026,25.0
866,15,597.85664124,14.10023235,8.617196,-0.0144135299999999,0.023584826,26.0
867,15,597.83430738,17.149255,9.4063,-0.015734044,0.0286856599999999,27.0
868,15,597.87239058,15.99013683,9.12864004,-0.015268506,0.026745169,28.0
869,15,597.8034017900000,13.83490586,9.18230951,-0.015360048,0.023142905,29.0
870,15,597.8281881200000,13.54174068,9.64601322,-0.016135067,0.0226515589999999,30.0
871,15,597.7568402400000,13.8516715,9.68325787,-0.0161993769999999,0.023172751,31.0
872,15,597.8192026400000,12.99237186,9.33640688,-0.015617468,0.021732964,32.0
873,15,597.79979483,14.03582668,9.99107753,-0.016713168,0.0234793139999999,33.0
874,15,597.84176847,17.16657117,9.8683661,-0.016506642,0.028714317,34.0
875,15,597.794253036,17.63201873,8.911002910000000,-0.014906515,0.029495108,35.0
876,15,597.8426294900000,15.51801636,9.10952174,-0.015237302,0.025956861,36.0
877,15,597.77113869,14.56087914,9.17153105,-0.01534291,0.0243585749999999,37.0
878,15,597.8585214100000,14.78255932,9.2624376,-0.015492679,0.024725799,38.0
879,15,597.79041871,15.05709927,9.44724592,-0.01580361,0.025187932,39.0
880,15,597.80124093,13.86520555,9.16217145,-0.015326513,0.023193465,40.0
881,15,597.76294493,11.87547544,10.05216612,-0.0168163219999999,0.019866409,41.0
882,15,597.75354954,13.6766592,9.06648277,-0.015167587,0.022880084,42.0
883,15,597.86119337,13.93051056,10.72502784,-0.017939181,0.0233005069999999,43.0
884,15,597.70863749,12.24227596,10.34231926,-0.017303395,0.020482159,44.0
885,15,597.7716334300000,12.7297537,10.75778932,-0.017996511,0.021295307,45.0
886,15,597.76963686,11.76377295,10.34872574,-0.017312054,0.019679124,46.0
887,15,597.79042293,8.907523320000000,11.35548515,-0.018995829,0.0149007609999999,47.0
888,15,597.76983022,11.120486,10.46066006,-0.017499566,0.01860322,48.0
889,15,597.74394252,12.11870189,10.542631730000000,-0.017637271,0.02027407,49.0
890,15,597.72131403,9.75298878,10.75694569,-0.0179966219999999,0.016316886,50.0
891,15,597.72347709,10.25002292,10.59342952,-0.017722961,0.01714845,51.0
892,15,597.74842514,13.13644052,10.24853815,-0.017145193,0.021976673,52.0
893,15,597.73854683,11.04857831,10.53617027,-0.017626703,0.018483871,53.0
894,15,597.72694193,11.91121448,10.51623752,-0.01759372,0.019927889,54.0
895,15,597.80866585,13.15510237,10.89359822,-0.018222566,0.022005515,55.0
896,15,597.86430202,15.60122777,10.52690273,-0.01760752,0.026094901,56.0
897,15,597.81465598,15.39734048,10.04522168,-0.016803302,0.025756067,57.0
898,15,597.74009638,13.82000256,9.42344649,-0.015765123,0.023120519,58.0
899,15,597.8038894488980,15.530497014028100,10.039573450901800,-0.0167942164328657,0.0259793637274549,59.0
900,16,552.54105931,24.183817733,6.05051019,-0.010950294,0.043768229,0.0
901,16,552.471039963,25.877114928000000,4.8111888,-0.008708585,0.046838694,1.0
902,16,552.48599786,19.88362719,5.84618524,-0.010581605,0.035989082,2.0
903,16,552.6052954020000,23.27613848,5.63075545,-0.010189552,0.042120354,3.0
904,16,552.4591949070000,23.2733105,5.74661747,-0.010401819,0.042127061,4.0
905,16,552.447345793,24.27110841,4.71488158,-0.008534703,0.043933631,5.0
906,16,552.535010776,24.77933641,4.66496334,-0.008442894,0.044846541,6.0
907,16,552.4881241620000,24.791364671,6.17006608,-0.011167771,0.044872177,7.0
908,16,552.524923638,25.459836823,4.69514585,-0.008497553,0.046079192,8.0
909,16,552.517365567,26.072075383,3.78090572,-0.006843135,0.047187825,9.0
910,16,552.477915236,24.73401581,4.39128553,-0.007948385,0.044769299,10.0
911,16,552.548261058,26.401042582,4.5481009300000000,-0.008231145,0.047780372,11.0
912,16,552.52081912,26.516736958000000,3.68716544,-0.006673272,0.047992453,12.0
913,16,552.494913654,24.86421673,3.64367184,-0.006594991,0.0450034319999999,13.0
914,16,552.50090393,25.798925170000000,3.82859433,-0.006929531,0.046694805,14.0
915,16,552.46289586,26.214124717000000,4.73222016,-0.008565664,0.0474497069999999,15.0
916,16,552.52851819,25.953861081,4.6082086,-0.008340255,0.0469727729999999,16.0
917,16,552.5222075970000,23.681159040000000,4.680624010000000,-0.0084713729999999,0.04285999,17.0
918,16,552.4356017400000,25.420221396,4.36121837,-0.007894658,0.046014938,18.0
919,16,552.5480973900000,28.221082107000000,4.70509674,-0.008515267,0.0510745369999999,19.0
920,16,552.474785206,25.407674037,4.43214559,-0.008022306,0.045988856,20.0
921,16,552.5402299900000,28.28672222,4.077603320000000,-0.007379741,0.051194025,21.0
922,16,552.5221712100000,27.429397544,3.46773891,-0.0062762,0.049643997,22.0
923,16,552.52798133,26.295776902,3.14190557,-0.005686479,0.0475919329999999,23.0
924,16,552.5360743,30.2763981,3.41355095,-0.006177969,0.0547955699999999,24.0
925,16,552.55500066,29.51820554,3.5629337,-0.00644805,0.0534213189999999,25.0
926,16,552.48326258,28.76510066,5.17180206,-0.009361017,0.052065006,26.0
927,16,552.53126257,30.17912012,4.2704751,-0.007728973,0.054619799,27.0
928,16,552.4963573700000,30.538027531,4.50979804,-0.008162639,0.055272971,28.0
929,16,552.50206587,27.009095878,3.1004555700000000,-0.005611438,0.048885022,29.0
930,16,552.54614715,29.37831527,5.34668698,-0.00967648,0.053168852,30.0
931,16,552.47674978,30.43056585,4.09037166,-0.007403762,0.055080426,31.0
932,16,552.47673055,31.39245805,5.04656487,-0.009134296,0.056821389,32.0
933,16,552.47440967,30.84059869,4.72584454,-0.008553955,0.055822604,33.0
934,16,552.49180712,31.11735423,4.78949129,-0.008668852,0.05632185,34.0
935,16,552.51928031,29.91727886,4.32388907,-0.007825792,0.054147129,35.0
936,16,552.48482186,30.19979953,4.59862733,-0.008323527,0.054661763,36.0
937,16,552.5894394300000,29.37483654,4.603197200000000,-0.008330236,0.053158523,37.0
938,16,552.52081542,29.68820578,5.36004191,-0.00970103,0.053732199,38.0
939,16,552.49765563,31.79673786,5.19201923,-0.009397379,0.057550799,39.0
940,16,552.51865053,34.02439825,4.83956334,-0.008759253,0.061581771,40.0
941,16,552.4937330100000,28.091240237000000,4.16359913,-0.007536118,0.050844542,41.0
942,16,552.44180148,28.651765732,4.39349232,-0.007952849,0.0518637569999999,42.0
943,16,552.54263917,27.432522015,4.34490398,-0.007863402,0.049647576,43.0
944,16,552.4937712600000,26.928333865,5.04869268,-0.009137961,0.0487395849999999,44.0
945,16,552.5271433500000,28.56905811,5.504762370000000,-0.009962908,0.051706177,45.0
946,16,552.4846707500000,30.7182925,6.06174345,-0.010971768,0.055600272,46.0
947,16,552.50324406,31.19292263,4.89011049,-0.00885082,0.0564574179999999,47.0
948,16,552.4651457800000,30.34938319,6.53393409,-0.011826878,0.054934496,48.0
949,16,552.4798799000000,26.68170819,6.43835987,-0.011653564,0.048294325,49.0
950,16,552.5301587400000,29.67479454,5.94770587,-0.0107644889999999,0.053707327,50.0
951,16,552.4062022100000,30.04958169,5.11299471,-0.009255769,0.054398074,51.0
952,16,552.50275715,30.08930025,5.95075918,-0.010770595,0.054459969,52.0
953,16,552.50801486,30.86299872,6.1080725200000000,-0.011055189,0.055859764,53.0
954,16,552.50758079,30.16525016,5.8579286,-0.010602495,0.054597008,54.0
955,16,552.4440292700000,27.9193221,6.04003802,-0.010933231,0.050538012,55.0
956,16,552.44414376,29.235783360000000,6.61203428,-0.011968682,0.052920761,56.0
957,16,552.43811754,29.15203556,7.09504367,-0.012843145,0.052769731,57.0
958,16,552.48985191,29.12851425,7.0679465200000000,-0.012792911,0.0527222939999999,58.0
959,16,552.5565489103730,29.99853747432020,6.908115056394760,-0.01250206143001,0.0542905206445115,59.0
960,17,576.41837807,48.458746270000000,-0.36861846,0.000639672,0.084069171,0.0
961,17,576.46835796,46.91160237,0.24228584,-0.0004204029999999,0.08137774,1.0
962,17,576.46428046,48.32796924,-0.29118423,0.000505093,0.0838351329999999,2.0
963,17,576.4827468100000,47.80812011,0.03600271,-6.2526E-05,0.082930597,3.0
964,17,576.41641917,47.274794460000000,-0.38342594,0.000665139,0.082015032,4.0
965,17,576.4489137800000,46.6965672,-0.7777599300000000,0.001349218,0.081007334,5.0
966,17,576.42707401,46.71629435,-0.94811212,0.001644776,0.081044636,6.0
967,17,576.43392437,47.32814825,-0.02197633,3.8112E-05,0.082105092,7.0
968,17,576.4269034300000,46.6640711,-0.7377163,0.001279778,0.080954083,8.0
969,17,576.43964028,47.34862514,0.35432517,-0.000614519,0.082140001,9.0
970,17,576.4641903100000,50.96482512,-0.3520627800000000,0.00061071,0.088409413,10.0
971,17,576.43119463,47.1219052,-0.11516163,0.000199795,0.081747403,11.0
972,17,576.4213493700000,43.96128281,1.02311086,-0.0017750209999999,0.076265888,12.0
973,17,576.3846159900000,43.9384582,0.19335161,-0.000335376,0.076230911,13.0
974,17,576.42829166,45.98134157,0.2070638,-0.000359193,0.079769339,14.0
975,17,576.38329344,46.25482001,-0.38400881,0.000666257,0.080250062,15.0
976,17,576.3812010100000,47.4507768,-0.0877482,0.00015223,0.082325292,16.0
977,17,576.39621406,46.72316067,-0.7573815000000000,0.001313996,0.08106086,17.0
978,17,576.4104502,48.50673329,-0.71027278,0.001232246,0.084153063,18.0
979,17,576.38240345,50.77916107,-1.09613101,0.00190188,0.088099678,19.0
980,17,576.5354394000000,48.39379438,-1.24137486,0.002153128,0.083938868,20.0
981,17,576.41861199,50.72883521,-0.6342605600000000,0.001100386,0.088006897,21.0
982,17,576.40738281,50.72353745,-0.5698187,0.000988505,0.087999178,22.0
983,17,576.44563011,48.795953050000000,-0.50379352,0.000874021,0.08464966,23.0
984,17,576.33924716,48.32507349,-1.40219506,0.0024329459999999,0.083848305,24.0
985,17,576.48013999,47.76114516,-0.8120187500000000,0.001408538,0.082849446,25.0
986,17,576.43337275,46.21583163,-0.77837497,0.001350342,0.080175605,26.0
987,17,576.35819178,48.78089444,-1.066441,0.001850317,0.084636615,27.0
988,17,576.48484282,49.56925858,-1.1373608900000000,0.001972926,0.085985306,28.0
989,17,576.37398033,51.37974002,-1.39107314,0.0024135059999999,0.089142947,29.0
990,17,576.49162095,50.154658820000000,-2.19913331,0.0038146879999999,0.086999757,30.0
991,17,576.35121294,48.48870002,-1.91978712,0.0033309639999999,0.0841307209999999,31.0
992,17,576.49780941,50.56340047,-1.59816872,0.002772104,0.087707817,32.0
993,17,576.3978238,49.95636199,-2.08975957,0.0036255389999999,0.086670105,33.0
994,17,576.40036554,48.91389426,-1.17223287,0.002033699,0.08486099,34.0
995,17,576.4127670700000,49.77747883,-1.16193182,0.002015828,0.0863573099999999,35.0
996,17,576.35902891,48.507256780000000,-1.0745914600000000,0.001864433,0.084161449,36.0
997,17,576.3947186500000,47.50912513,-0.30775283,0.0005339639999999,0.082424603,37.0
998,17,576.3299823500000,48.05078847,-0.29984944,0.000520272,0.0833737359999999,38.0
999,17,576.3541564900000,46.78470142,-1.50679981,0.002614246,0.081173387,39.0
1000,17,576.36612237,44.8747385,0.65377964,-0.001134352,0.077857955,40.0
1001,17,576.3941509700000,47.33608056,0.0910084499999999,-0.000157865,0.082124413,41.0
1002,17,576.3199990100000,47.23575212,-0.20224235,0.000350924,0.081961147,42.0
1003,17,576.4598591400000,44.82450404,-0.8015682200000000,0.001390356,0.077757831,43.0
1004,17,576.3820637500000,46.47093507,-1.51828776,0.002634197,0.080625256,44.0
1005,17,576.37497363,47.23647152,-1.36388562,0.00236633,0.081954437,45.0
1006,17,576.39108042,46.63288007,-1.58560119,0.002750922,0.08090497,46.0
1007,17,576.29904744,44.86157022,-0.7998859700000000,0.001387976,0.077844414,47.0
