subject_id,Second,Fz,Mx,My,CoPx,CoPy
20,34,719.45163033,34.203670000000000,-22.01485987,0.030599472,0.047541571
20,35,719.40311982,35.775364950000000,-21.75086603,0.030234592000000000,0.049729103000000000
20,36,719.37252197,32.41949543,-22.26505185,0.030950599,0.045066335
20,37,719.32198382,31.878101360000000,-21.98616494,0.030565228,0.044317003
20,38,719.38526246,33.280222350000000,-21.872494930000000,0.030404524,0.046261904
20,39,719.40358277,34.94051607,-22.23437503,0.030906702000000000,0.048568543
20,40,719.3373070200000,34.800105780000000,-21.271408910000000,0.029570875,0.048377888
20,41,719.4551599300000,35.34464851,-22.32856065,0.031035325,0.049127061
20,42,719.4014097000000,36.23554842,-21.38206061,0.029722041,0.050368954
20,43,719.40730478,34.48692574,-21.636098750000000,0.030074958,0.047937872
20,44,719.4541601100000,32.76528412,-21.726696310000000,0.030198847,0.045541763000000000
20,45,719.2726075,35.03415904,-21.695093060000000,0.030162604,0.048707918
20,46,719.43643971,37.049738850000000,-20.62972291,0.028674703,0.051498074000000000
20,47,719.43525125,33.78640707,-20.68577256,0.028752716,0.046962428
20,48,719.3219788,32.96365605,-22.19989014,0.030862325,0.045825860000000000
20,49,719.29768628,33.66337341,-21.73017146,0.030210327,0.046800036000000000
20,50,719.4340101300000,32.88783584,-22.12189567,0.030748978,0.045713465
20,51,719.3876678,34.38150048,-22.29620689,0.030993288,0.047792686
20,52,719.4332051800000,34.40168068,-22.20700353,0.030867304,0.047817474
20,53,719.3190804100000,34.85526054,-21.81102351,0.03032175,0.048456064
20,54,719.4003436300000,34.96250974,-21.95994812,0.030525381,0.048599259000000000
20,55,719.4340476500000,34.461791510000000,-22.15025666,0.030788421,0.047901193
20,56,719.36302781,35.4522446,-21.92326419,0.030475909000000000,0.049282932
20,57,719.39164837,34.76962223,-22.185121640000000,0.030838724000000000,0.048331793
20,58,719.4067445800000,34.367918270000000,-22.3212598,0.031027304000000000,0.047772593
20,59,719.4143861006040,36.212226573440600,-22.670800732394400,0.03151287122736420,0.05033565291750500
21,0,806.9420371,15.670369645000000,-16.53715864,0.020493532,0.019419678000000000
21,1,806.9513075,13.473500708,-15.98720829,0.019811862000000000,0.016696741
21,2,806.79259328,13.660179256,-15.578852980000000,0.019309349,0.016931729
21,3,806.94502466,21.021899250000000,-15.1140358,0.018730263,0.026051728
21,4,807.06421034,18.663685518000000,-19.83156077,0.024572417000000000,0.023125396
21,5,806.84084484,16.06019334,-14.32462264,0.017753955000000000,0.019905044
21,6,806.9764113,16.48449414,-15.00503719,0.018594064,0.020427556
21,7,806.84397157,13.958353722,-16.44346368,0.020379975,0.01729958
21,8,806.85013449,14.312812529,-15.85239438,0.019647251,0.017739215000000000
21,9,807.06242983,15.221923143,-17.50144251,0.02168516,0.018860913
21,10,806.8197357000000,17.138233864,-13.7792655,0.017078931000000000,0.021241481
21,11,806.8712753900000,21.21664002,-18.248192450000000,0.022616186,0.026294993000000000
21,12,807.01393119,23.00939455,-17.90917075,0.022191619,0.028511619
21,13,806.93374379,16.888827319,-19.29633691,0.023913167000000000,0.020929649
21,14,806.93090864,-5.6439070000000000,-9.508106680000000,0.011781365000000000,-0.007005924
21,15,806.7114975000000,-7.9819559600000000,-13.88345156,0.017204032,-0.009910577
21,16,806.88134922,10.82890052,-19.0091039,0.023558292,0.013415829
21,17,806.84944726,16.306052484,-18.432409800000000,0.022845386000000000,0.020209638
21,18,806.96091423,16.915818769,-18.00980766,0.022317530000000000,0.020962419
21,19,806.92516533,16.178445695,-20.20969655,0.02504532,0.020049391
21,20,806.9671054100000,16.866583155,-17.9235412,0.022210863,0.020901281
21,21,806.87643044,15.57712838,-21.07677271,0.026121396,0.019305592
21,22,807.00229319,15.174876528,-18.70218367,0.023174987,0.018803920000000000
21,23,806.82276547,16.820530363000000,-16.39932345,0.020326085,0.020847813
21,24,806.89714269,19.100004430000000,-18.99434224,0.023539986,0.023670789000000000
21,25,807.0757215400000,22.68471062,-18.328327140000000,0.022709499,0.02810752
21,26,806.8634434700000,21.58510412,-18.66202105,0.023129096000000000,0.026752525
21,27,806.88549219,19.59920745,-17.3561421,0.021510068,0.024290016
21,28,806.6888758500000,4.70811129,-22.30720146,0.027653597000000000,0.005828905
21,29,806.6616831590000,-22.73317299,-27.14806476,0.033636909,-0.028207603000000000
21,30,807.048427609,1.27558496,-25.75897129,0.031916218,0.001577152
21,31,807.264178124,11.779309673,-18.48237654,0.022895606000000000,0.014592583
21,32,806.5887619270000,6.535217288,-16.08898379,0.01994481,0.008110412000000000
21,33,806.78768679,7.08610001,-16.9063083,0.020956386000000000,0.008781796
21,34,806.75766679,3.9651208700000000,-12.74958384,0.015797888,0.004908199000000000
21,35,806.79147898,8.583650832,-12.56679837,0.015576231,0.010639324
21,36,806.8961814,21.22415625,-14.753555780000000,0.018284795,0.026303599000000000
21,37,806.88325018,19.82243006,-17.63905256,0.021859872,0.024567008
21,38,806.8984923300000,23.91958047,-13.178861120000000,0.016332919,0.029643814000000000
21,39,806.99739203,22.15936507,-16.846687280000000,0.020875767,0.027458877
21,40,806.93813516,21.211867034000000,-16.05882889,0.019900152000000000,0.026287925
21,41,806.86141388,11.523465125000000,-19.414617270000000,0.024062423,0.014280802000000000
21,42,806.71122436,14.921962919,-14.0936584,0.0174706,0.018497503000000000
21,43,806.85204931,10.637474410000000,-16.5584588,0.020522127,0.013183646
21,44,806.9089877500000,13.797200494,-14.818978140000000,0.018365613,0.017098495
21,45,806.7471925,20.51602452,-15.433133830000000,0.019130017,0.025430486
21,46,806.83231975,18.962903143,-17.806564860000000,0.022069686,0.02350267
21,47,806.9574963600000,10.22665286,-15.92830335,0.019738609,0.012673134000000000
21,48,806.71167727,7.34543734,-17.256035070000000,0.021390305000000000,0.009104678
21,49,806.80701907,15.004237766000000,-16.49018801,0.020438823,0.018597551
21,50,806.99376446,21.02081754,-17.836919710000000,0.022102929,0.026048562
21,51,806.8402280400000,19.2861464,-16.19671541,0.020074265,0.023903271
21,52,806.90287921,23.36601564,-15.90938427,0.019716514,0.028957706000000000
21,53,806.93570482,25.095917400000000,-15.78940592,0.019567124000000000,0.031100372
21,54,806.8315304600000,23.347894810000000,-16.389670580000000,0.020313309,0.028937681
21,55,806.89408107,22.44116074,-15.87092661,0.019669216,0.027811677
21,56,806.93622253,17.208315114,-16.97953138,0.021042031000000000,0.021325582
21,57,806.78629887,11.6008052,-16.95377577,0.021013877,0.014379052
21,58,806.8126240600000,12.54934788,-16.22442594,0.020109274,0.015554338
21,59,806.9560996266270,21.050045245245200,-15.778299924924900,0.019552688688688700,0.02608604204204200
22,0,514.41520725,35.71898994,-1.80343082,0.003505846,0.069435795
22,1,514.49599234,33.81035035,-1.7930743500000000,0.003485065,0.06571574200000000
22,2,514.4498537,33.0018672,-1.84556176,0.003587586,0.06414990400000000
22,3,514.42724312,32.864905400000000,-2.9506755,0.005735842,0.063886526
22,4,514.4053458,31.92172258,-0.77667634,0.0015099,0.062055476
