subject_id,Second,Fz,Mx,My,CoPx,CoPy
1,0,642.0668922900000,-29.34335634,4.5077853900000000,-0.007020724000000000,-0.045701487
1,1,642.0688466,-29.55985446,4.69242831,-0.007308314,-0.046038642000000000
1,2,642.00323589,-30.85037917,4.52627146,-0.007050354000000000,-0.048053405
1,3,642.0882754920000,-30.613398530000000,4.65007469,-0.007242199,-0.047678313
1,4,642.14227207,-29.94200888,4.85331862,-0.007557993,-0.046628390000000000
1,5,642.122792106,-29.80762833,4.69306984,-0.007308715,-0.046420424000000000
1,6,642.10719772,-30.796798880000000,5.71444522,-0.0088995,-0.047962163000000000
1,7,641.999254389,-28.99855639,5.2383958,-0.008159566,-0.045169442
1,8,642.042261013,-29.18208971,5.38288773,-0.008384117,-0.045451626000000000
1,9,642.028469812,-28.44089035,4.05723862,-0.006319213000000000,-0.044298838
1,10,642.0378347680000,-28.281717350000000,4.42354308,-0.0068898910000000000,-0.04405021
1,11,641.990071753,-29.64347695,3.97495298,-0.0061915470000000000,-0.046174480000000000
1,12,642.113326828,-28.79484961,3.76324954,-0.005860886,-0.044844371
1,13,641.909694974,-26.68430053,2.25114653,-0.003506255,-0.041571119000000000
1,14,641.851225874,-27.365196900000000,3.31879546,-0.005169995,-0.042634883000000000
1,15,642.1266484760000,-24.590809920000000,4.4980318100000000,-0.0070056630000000000,-0.038295572
1,16,642.0868498870000,-26.2859522,4.71971878,-0.007350562,-0.040938955
1,17,641.991177344,-26.31909882,3.65111115,-0.005687168000000000,-0.040996028000000000
1,18,642.093918852,-27.41093109,4.58443953,-0.007139877,-0.042690169
1,19,642.054833612,-29.09801852,5.21448779,-0.008121688,-0.045320195
1,20,642.04046941,-30.13188554,4.80757063,-0.007487966,-0.046931498000000000
1,21,642.1026825050000,-30.47418367,2.76990742,-0.0043136880000000000,-0.047459923
1,22,641.9639188,-30.772707430000000,5.14906538,-0.00802042,-0.047935523
1,23,642.021246946,-27.24165036,4.03844534,-0.006290149000000000,-0.042430888
1,24,642.05255154,-29.29451508,4.67029095,-0.007273969,-0.045626518
1,25,642.09061838,-32.04654723,4.31745518,-0.0067240930000000000,-0.049909742
1,26,642.0058862860000,-26.17169418,4.12405323,-0.006423707,-0.040765590000000000
1,27,642.06056717,-23.91964446,4.02562754,-0.006269862,-0.037254625
1,28,642.090175609,-28.511287680000000,5.0237434400000000,-0.007824085,-0.044403859
1,29,642.0356144910000,-27.55147424,4.46095447,-0.006948124,-0.042912854
1,30,642.065982341,-25.44926741,4.785454120000000,-0.007453232,-0.039636581
1,31,642.008354616,-26.16162194,5.011798220000000,-0.0078063660000000000,-0.040749767
1,32,642.02790543,-28.85955307,4.75116321,-0.007400223000000000,-0.044950576
1,33,642.099878816,-27.73810967,4.3321625600000000,-0.006746940000000000,-0.043199132
1,34,641.996264055,-26.04855734,3.89003597,-0.006059269,-0.040574334000000000
1,35,642.073656053,-27.61832903,5.10501883,-0.007950906,-0.043014317000000000
1,36,642.082766623,-25.7235851,4.5726955600000000,-0.0071216330000000000,-0.040062878000000000
1,37,641.931021173,-27.49680331,3.14168088,-0.004894239,-0.042834327
1,38,642.166549347,-27.79334634,3.5926183000000000,-0.005594731,-0.043281142
1,39,642.037291803,-25.813492830000000,3.35743387,-0.005229505,-0.040205701000000000
1,40,642.061223262,-25.71553071,4.10492744,-0.006392992000000000,-0.040051663
1,41,641.9715190410000,-25.351906840000000,3.0043832300000000,-0.004680073,-0.039490885000000000
1,42,641.90599164,-24.68874876,3.94905167,-0.006151986,-0.038461745
1,43,642.031147657,-25.42436546,4.314354530000000,-0.006719829,-0.039600176
1,44,641.885121423,-27.423357550000000,3.68146088,-0.005735436,-0.042722991
1,45,642.050464568,-25.51927576,4.516909050000000,-0.007035204000000000,-0.039746567
1,46,641.98883446,-25.112428650000000,3.7746174200000000,-0.005879585,-0.039116626000000000
1,47,641.9637697,-25.8337319,3.42855254,-0.005340689,-0.040241774
1,48,642.01551718,-26.94593227,5.13367018,-0.007996142,-0.041970755
1,49,641.996252389,-22.785229730000000,4.79629889,-0.007470879,-0.03549075
1,50,642.069420316,-22.52188107,4.29367117,-0.006687266,-0.035076714
1,51,641.953277255,-25.74219426,4.763383440000000,-0.007420138,-0.040099738
1,52,641.933476472,-24.05745607,4.8039632900000000,-0.0074836,-0.037476449
1,53,641.972604394,-24.00703862,5.858947570000000,-0.009127176,-0.037396253000000000
1,54,642.11031331,-31.567916320000000,9.48927881,-0.014778649,-0.049163104
1,55,642.08230559,-30.05717396,7.9283519,-0.012347894,-0.046812121
1,56,641.9237317700000,-27.292294850000000,5.19143287,-0.008087646000000000,-0.042516487
1,57,642.039975674,-22.98004864,5.66352339,-0.008821229,-0.03579188
1,58,641.9238824080000,-23.26814134,5.25080432,-0.008179821,-0.036247155000000000
1,59,642.03309797996,-29.559059000000000,6.151816136272550,-0.009581910821643290,-0.046039725450901800
2,0,957.670561494,10.969009666,21.054514458,-0.021991911,0.011452947
2,1,957.7706259500000,14.67891114,16.14277995,-0.016858346,0.015329222
2,2,958.08575787,6.6485125,18.40223972,-0.019207139,0.006939525000000000
2,3,958.05477676,11.468487140000000,17.294648260000000,-0.018051923000000000,0.011970382
2,4,957.8742542300000,9.69080067,16.813171100000000,-0.017552686,0.010116984
2,5,958.18550627,10.187800450000000,18.03425339,-0.018821034,0.010632855
2,6,957.9114658700000,12.72072511,15.89813709,-0.016596679000000000,0.013279816
2,7,958.1290801400000,9.65111672,13.905793940000000,-0.014513435,0.010072806
